sce,species,iter,ts,n,bins
sce_37,BLBR,5,0,25,3.2668530965514235
sce_37,BLBR,5,0,26,3.287229362897949
sce_37,BLBR,5,0,35,3.307605629244474
sce_37,BLBR,5,0,30,3.3279818955909994
sce_37,BLBR,5,0,25,3.348358161937525
sce_37,BLBR,5,0,16,3.36873442828405
sce_37,BLBR,5,0,28,3.3891106946305753
sce_37,BLBR,5,0,29,3.409486960977101
sce_37,BLBR,5,0,34,3.4298632273236263
sce_37,BLBR,5,0,41,3.4502394936701513
sce_37,BLBR,5,0,32,3.4706157600166767
sce_37,BLBR,5,0,40,3.490992026363202
sce_37,BLBR,5,0,51,3.511368292709727
sce_37,BLBR,5,0,47,3.5317445590562526
sce_37,BLBR,5,0,38,3.552120825402778
sce_37,BLBR,5,0,48,3.5724970917493035
sce_37,BLBR,5,0,41,3.5928733580958285
sce_37,BLBR,5,0,47,3.613249624442354
sce_37,BLBR,5,0,31,3.6336258907888794
sce_37,BLBR,5,0,40,3.6540021571354044
sce_37,BLBR,5,0,45,3.67437842348193
sce_37,BLBR,5,0,59,3.6947546898284553
sce_37,BLBR,5,0,60,3.715130956174981
sce_37,BLBR,5,0,66,3.735507222521506
sce_37,BLBR,5,0,56,3.7558834888680313
sce_37,BLBR,5,0,40,3.7762597552145567
sce_37,BLBR,5,0,67,3.7966360215610817
sce_37,BLBR,5,0,74,3.817012287907607
sce_37,BLBR,5,0,58,3.8373885542541326
sce_37,BLBR,5,0,67,3.8577648206006576
sce_37,BLBR,5,0,51,3.878141086947183
sce_37,BLBR,5,0,69,3.8985173532937085
sce_37,BLBR,5,0,97,3.918893619640234
sce_37,BLBR,5,0,62,3.939269885986759
sce_37,BLBR,5,0,90,3.9596461523332844
sce_37,BLBR,5,0,89,3.98002241867981
sce_37,BLBR,5,0,75,4.000398685026335
sce_37,BLBR,5,0,74,4.020774951372861
sce_37,BLBR,5,0,88,4.041151217719386
sce_37,BLBR,5,0,93,4.061527484065911
sce_37,BLBR,5,0,108,4.081903750412437
sce_37,BLBR,5,0,85,4.102280016758962
sce_37,BLBR,5,0,101,4.122656283105487
sce_37,BLBR,5,0,107,4.143032549452013
sce_37,BLBR,5,0,97,4.163408815798538
sce_37,BLBR,5,0,129,4.183785082145063
sce_37,BLBR,5,0,124,4.2041613484915885
