species,iteration,timestep,scenario,numNodes,numLinks,totArea,meanArea,totQuality,meanQuality,totAreaQuality,meanAreaQuality,totCost,meanCost,overallECgap,overallECnatal
URAM,7,11,40,4207,11606,2643564600,628372.8547658664,2571.846912435226,0.6113256269159083,15419048.60015339,3665.093558391583,3193824,275.1873169050491,5507821.130504862,15104330.417528197
URAM,7,2,40,4864,13542,3613612500,742930.2014802631,2997.6494334632557,0.6162930578666233,21576980.289209776,4436.0568028803,3027700,223.5784965293162,8524783.643631335,21227017.221099094
URAM,7,3,40,4695,13063,3484255500,742120.447284345,2880.3383052158642,0.6134905868404397,20657887.046993613,4399.975941851675,3007556,230.23470871928347,8211658.99479557,20314517.261213593
URAM,7,4,40,4555,12672,3374508600,740836.1361141603,2781.1654838353006,0.610574200622459,19899772.597993173,4368.77554291837,2995486,236.3862058080808,7904129.422896212,19561183.61260747
URAM,7,5,40,4488,12486,3270059100,728622.7941176471,2734.568722962204,0.609306756453254,19187655.235286273,4275.324250286602,3016858,241.61925356399166,7547633.850321558,18853383.35055645
URAM,7,6,40,4455,12340,3161997000,709763.6363636364,2705.1024114774214,0.6072059285022271,18506168.587122526,4154.022129544899,3085538,250.04359805510535,7254850.091948615,18177351.12234765
URAM,7,7,40,4473,12412,3056761800,683380.6841046278,2718.0245005007255,0.6076513526717472,17830636.591468144,3986.281375244387,3138732,252.87882694166936,6950363.403343895,17505528.43572826
URAM,7,8,40,4474,12419,2950497900,659476.5087170317,2723.880582868614,0.6088244485624975,17191324.049975544,3842.495317383895,3187252,256.6432079877607,6470699.877587918,16867711.729009345
URAM,7,9,40,4447,12290,2848664700,640581.2232966045,2708.328005821397,0.6090236127324931,16579636.57988365,3728.2744726520464,3222010,262.16517493897476,6095704.818273213,16257853.167822182
URAM,8,10,40,4381,12074,2741428800,625754.1200639124,2670.9889306268465,0.6096756289949432,15961221.716612294,3643.2827474577252,3197170,264.79791287063114,5790929.247876529,15639206.429757236
URAM,8,11,40,4263,11738,2649364200,621478.8177339901,2600.077749387331,0.6099173702527166,15416522.329056067,3616.355226144984,3195278,272.21656159482023,5463440.60505683,15093430.479918703
URAM,8,2,40,4864,13542,3613612500,742930.2014802631,2997.6494334632557,0.6162930578666233,21576980.289209776,4436.0568028803,3027700,223.5784965293162,8524783.643631335,21227017.221099094
URAM,8,3,40,4654,12932,3487203900,749291.7705199828,2860.9271232421706,0.614724349643784,20667557.059442732,4440.815870099426,3007178,232.5377358490566,8231415.966754833,20321747.976819217
URAM,8,4,40,4548,12636,3372030000,741431.3984168866,2783.6136559282495,0.6120522550413917,19883230.376466338,4371.862439856274,3011024,238.28933206710983,7906024.7249144185,19543705.01614739
URAM,8,5,40,4455,12368,3257342100,731165.4545454546,2727.294900298088,0.6121874074743183,19149844.388169006,4298.506035503705,3004712,242.9424320827943,7629654.131035055,18817046.125670277
URAM,8,6,40,4466,12407,3153897000,706201.7465293327,2732.459094964411,0.611835892289389,18477947.70171841,4137.47149613041,3088990,248.97154831949706,7272815.975229203,18146431.834889885
URAM,8,7,40,4468,12391,3046434300,681833.9973142346,2718.039497067469,0.6083347128620119,17802267.98879434,3984.3930145018667,3137076,253.1737551448632,7002795.779116114,17477873.73455641
URAM,8,8,40,4425,12254,2937343500,663806.4406779661,2700.143952689365,0.6102020232066362,17153744.226455774,3876.5523675606273,3168440,258.5637342908438,6413679.712233697,16826283.570521723
URAM,8,9,40,4404,12171,2836976400,644181.7438692098,2682.528972697513,0.609111937488082,16543284.99067798,3756.4225682738374,3176164,260.9616301043464,6088797.286460252,16221456.782967346
URAM,9,10,40,4306,11901,2737281600,635690.1068276823,2636.9185184686294,0.6123823777214653,16000195.685684536,3715.7909163224654,3210406,269.75934795395347,5793376.376234047,15679040.296895951
URAM,9,11,40,4233,11674,2647428300,625426.0099220411,2587.270448227023,0.6112143747288029,15451310.501593336,3650.203284099536,3194190,273.6157272571526,5501492.353145726,15131109.371271653
URAM,9,2,40,4864,13542,3613612500,742930.2014802631,2997.6494334632557,0.6162930578666233,21576980.289209776,4436.0568028803,3027700,223.5784965293162,8524783.643631335,21227017.221099094
URAM,9,3,40,4649,12908,3484660500,749550.5485050549,2854.037581248194,0.6139035451168411,20674229.682751168,4447.027249462501,2992020,231.79578555934307,8146399.391857151,20331300.870823044
URAM,9,4,40,4503,12470,3375116100,749526.1159227182,2751.7610259331655,0.6110950535050333,19908484.69511864,4421.160269846467,2982620,239.18364073777065,7830559.870711284,19571659.12963493
URAM,9,5,40,4492,12430,3265717500,727007.4577025824,2744.309514755139,0.6109326613435305,19176993.878730312,4269.143784223133,3016326,242.66500402252618,7525646.006117831,18842772.014059287
URAM,9,6,40,4396,12187,3156489000,718036.6242038216,2686.0986939611785,0.6110324599547722,18495879.539686736,4207.4339262253725,3036560,249.16386313284647,7246435.554368449,18168845.572031632
URAM,9,7,40,4386,12170,3050176500,695434.6785225718,2681.0794061187253,0.6112812143453547,17829978.488167558,4065.2025736816136,3092514,254.10961380443715,6935360.204342003,17508723.072952136
URAM,9,8,40,4361,12082,2945411100,675398.0967667967,2668.8376687771815,0.6119783693595922,17199280.263253886,3943.8844905420515,3130082,259.0698559841086,6634820.420136959,16881497.08484044
URAM,9,9,40,4348,12085,2836530900,652376.0119595216,2665.481464715667,0.613036215435986,16581588.965829778,3813.612917624144,3194534,264.3387670666115,6099953.336410388,16260318.218477989
URAM,1,10,42,6252,16770,3562517700,569820.4894433782,3934.238738593327,0.6292768295894637,20605434.79045868,3295.8149057035635,3475704,207.2572450805009,7837698.350627306,20302462.842428412
URAM,1,11,42,6171,16529,3565587600,577797.3748176957,3886.092111632162,0.6297345829901413,20583137.632230777,3335.4622641761102,3401690,205.801318894065,7625220.681182425,20282895.218269747
URAM,1,2,42,4864,13542,3613612500,742930.2014802631,2997.6494334632557,0.6162930578666233,21576980.289209776,4436.0568028803,3027700,223.5784965293162,8524783.643631335,21227017.221099094
URAM,1,3,42,5379,14665,3590179200,667443.614054657,3373.0671720605083,0.6270807161294866,21293278.986771084,3958.594345932531,3151566,214.90392090010226,8467154.50971044,20950737.26470572
URAM,1,4,42,5928,16046,3580224300,603951.467611336,3737.047144111694,0.630406063446642,21131673.60411865,3564.7222679012566,3331410,207.61622834351243,8444730.257317366,20801233.11987805
URAM,1,5,42,6100,16430,3579867900,586863.5901639344,3851.17646891579,0.6313404047402934,21021567.404154766,3446.1585908450434,3388054,206.21144248326235,8305155.73546375,20694759.214422517
URAM,1,6,42,6325,17043,3572756100,564862.6245059288,3996.5953511348716,0.631872782788122,20899256.71660982,3304.230310926454,3474186,203.84826615032563,8195197.0293097645,20579625.323385827
URAM,1,7,42,6332,16971,3568463100,563560.1863550221,4015.084242644806,0.6340941633993693,20784835.1679212,3282.5071332787747,3465098,204.17759707736727,8167857.944831554,20476827.026679818
URAM,1,8,42,6357,17040,3561748200,560287.5884851345,4018.0628403968685,0.6320690326249597,20701555.697981253,3256.4976715402317,3473990,203.87265258215962,8104425.200949156,20398051.52045197
URAM,1,9,42,6337,17027,3557034000,561311.9772763137,3999.630231878802,0.6311551573108414,20625253.93584819,3254.7347223999036,3480536,204.41275621072413,7945987.913076262,20325559.198682114
URAM,10,10,42,6317,16876,3565458000,564422.6689884439,3991.308792211812,0.6318361235098642,20634036.810156964,3266.42976257036,3463306,205.22078691633087,7645687.425086966,20310794.84178488
URAM,10,11,42,6176,16464,3565320300,577286.3180051814,3885.2371930864642,0.6290863330774715,20600483.09678766,3335.5704496094013,3399452,206.47789115646262,7477240.390038835,20277686.572659258
URAM,10,2,42,4864,13542,3613612500,742930.2014802631,2997.6494334632557,0.6162930578666233,21576980.289209776,4436.0568028803,3027700,223.5784965293162,8524783.643631335,21227017.221099094
URAM,10,3,42,5409,14763,3588413400,663415.3078202995,3377.969467716706,0.6245090530073406,21293039.25576255,3936.594427022102,3191904,216.20971347287136,8442125.618263926,20953896.6465787
URAM,10,4,42,5986,16127,3584744100,598854.6775810224,3768.4382026453354,0.6295419650259497,21154762.38279732,3534.0398233874575,3354168,207.98462206237983,8437901.605988631,20823857.332893066
URAM,10,5,42,6158,16513,3585343500,582225.3166612537,3882.5543515661425,0.63048950171584,21054722.55166028,3419.0845325853006,3429348,207.67564948828198,8394767.882236967,20730736.272311307
URAM,10,6,42,6332,16983,3575259000,564633.4491471889,3999.2337671573355,0.6315909297468945,20915192.757974055,3303.0942447842795,3458928,203.67002296414063,8223236.847572116,20589697.87449357
URAM,10,7,42,6361,17051,3573598500,561798.2235497563,4018.6189912075483,0.6317589987749643,20826722.69070281,3274.1271326368196,3472020,203.62559380681483,8154398.608598588,20501011.154012468
URAM,10,8,42,6358,16993,3561821100,560210.9311104121,4008.584095310458,0.6304787818984677,20717622.50291915,3258.512504391184,3454240,203.2742894132878,7852946.7063001655,20393644.37541529
URAM,10,9,42,6212,16606,3567653100,574316.3393432067,3922.23899268157,0.6313971334001239,20677297.90859704,3328.605587346594,3429624,206.52920631097192,7768682.076971157,20353102.96030514
URAM,2,10,42,6024,16085,3560719500,591088.8944223108,3790.5921639875005,0.6292483671958002,20595599.26266751,3418.924180389693,3356674,208.68349393845196,7520698.1560222255,20283060.802679878
URAM,2,11,42,5986,16027,3562655400,595164.617440695,3759.7320670426466,0.6280875487876122,20567890.73887573,3435.999121095177,3350646,209.06258189305544,7501086.022681615,20264204.2947387
URAM,2,2,42,4864,13542,3613612500,742930.2014802631,2997.6494334632557,0.6162930578666233,21576980.289209776,4436.0568028803,3027700,223.5784965293162,8524783.643631335,21227017.221099094
URAM,2,3,42,5393,14761,3591442800,665945.2623771556,3375.365533475295,0.6258790160347292,21284949.97372424,3946.7735905292484,3158658,213.98672176681796,8481056.35009433,20946030.07911077
URAM,2,4,42,5833,15812,3578037300,613412.8750214298,3682.476672704479,0.6313177906230891,21109645.325083237,3619.0031416223624,3320566,210.00290918289903,8408218.085001709,20774102.932993684
URAM,2,5,42,6156,16585,3575323800,580786.8421052631,3889.7940847045006,0.6318703841300358,20982565.172331184,3408.4738746476905,3425412,206.5367500753693,8309830.340438266,20655946.3638523
URAM,2,6,42,6273,16839,3570334200,569158.9670014348,3960.7522664923445,0.6313968223325912,20865745.094000977,3326.278510122904,3434632,203.968881762575,8183850.246019829,20543431.656396855
URAM,2,7,42,6136,16437,3568973400,581644.9478487615,3868.51685937923,0.630462330407306,20783422.192328982,3387.128779714632,3381510,205.72549735353167,8132591.081198559,20464330.060588475
URAM,2,8,42,6145,16441,3561869700,579637.0545158666,3871.6531418944824,0.6300493314718442,20705053.59592644,3369.4147430311536,3410702,207.45100662976708,8074494.1707769735,20394059.22862615
URAM,2,9,42,6017,16128,3566122200,592674.455708825,3781.503968816122,0.6284699964793289,20652332.739701606,3432.3305201431954,3342932,207.2750496031746,7742526.768249999,20344528.261807755
URAM,3,10,42,6166,16516,3560606100,577458.011676938,3889.1720014933426,0.630744729402099,20596330.488339026,3340.3065988224175,3425450,207.4019132961976,7744307.226245665,20280618.354774334
URAM,3,11,42,6035,16145,3557698200,589510.8864954433,3803.6275516688083,0.6302614004422218,20561509.766006634,3407.043871749235,3364752,208.40829978321463,7364822.021542625,20237351.945357993
URAM,3,2,42,4864,13542,3613612500,742930.2014802631,2997.6494334632557,0.6162930578666233,21576980.289209776,4436.0568028803,3027700,223.5784965293162,8524783.643631335,21227017.221099094
URAM,3,3,42,5309,14548,3588121800,675856.4324731588,3315.2248344966565,0.6244537265957161,21285615.77017359,4009.345596190166,3156696,216.9848776464119,8462765.028113356,20941576.60670734
URAM,3,4,42,5961,16077,3581949600,600897.4333165577,3757.691825274584,0.6303794372210341,21131177.849986978,3544.9048565655057,3323496,206.72364247061017,8427101.072107457,20789043.111738138
URAM,3,5,42,6076,16310,3577284000,588756.4186965108,3833.049051304228,0.6308507326043825,20997061.36003463,3455.737551026107,3354302,205.65922746781115,8228347.753702361,20661536.23536918
URAM,3,6,42,6264,16809,3579827400,571492.2413793104,3953.7637683145567,0.6311883410463851,20896370.813127723,3335.9468092477205,3401420,202.3570706169314,8162724.059335951,20571995.79606505
URAM,3,7,42,6091,16363,3574125000,586787.8837629289,3844.6844690601356,0.6312074321228264,20784662.322661918,3412.3563163129074,3355746,205.0813420521909,8073531.848969476,20457688.061261892
URAM,3,8,42,6202,16705,3567118500,575156.1593034505,3919.286459906722,0.6319391260733186,20705575.15735306,3338.5319505567654,3427732,205.19197844956597,8040855.38846199,20382271.696445704
URAM,3,9,42,6224,16672,3562606800,572398.264781491,3935.676268232664,0.6323387320425231,20640595.011236727,3316.2909722424047,3410596,204.57029750479848,7772415.493067143,20323102.83216515
URAM,4,10,42,6208,16581,3560800500,573582.5547680412,3921.517516618456,0.6316877443006533,20581245.144327104,3315.277890516608,3414294,205.9160484892347,7740530.427593639,20273726.704454653
URAM,4,11,42,6034,16087,3556710000,589444.8127278754,3792.27327270727,0.62848413535089,20541015.716553483,3404.21208428132,3364770,209.16081307888354,7352596.076140008,20224220.23133514
URAM,4,2,42,4864,13542,3613612500,742930.2014802631,2997.6494334632557,0.6162930578666233,21576980.289209776,4436.0568028803,3027700,223.5784965293162,8524783.643631335,21227017.221099094
URAM,4,3,42,5426,14871,3588138000,661286.0302248433,3401.382082472684,0.6268673207653307,21283214.07651064,3922.4500693900923,3199924,215.17880438437228,8454703.5986094,20940606.954283495
URAM,4,4,42,5744,15585,3577478400,622820.0557103064,3611.9684735231194,0.628824594972688,21106373.75670402,3674.507966000004,3301216,211.82008341353864,8348361.531049847,20773808.363722105
URAM,4,5,42,6093,16382,3570471900,585995.7163958641,3839.648495832848,0.6301737232615867,20962420.837253407,3440.410444321911,3384472,206.59699670369915,8226544.85354965,20635713.227874845
URAM,4,6,42,6228,16751,3564429300,572323.2658959538,3935.1290124931343,0.631844735467748,20848197.119411163,3347.4947205220233,3468778,207.07886096352456,8143409.187579596,20528408.594345205
URAM,4,7,42,6338,16990,3561942600,561997.8857683812,4007.0032847626726,0.6322188836798158,20747412.379287805,3273.4951687106036,3501348,206.0828722778105,8055080.297348052,20430136.590568755
URAM,4,8,42,6380,17157,3554433900,557121.3009404389,4034.8311272926,0.6324186719894357,20660833.875227865,3238.375215552957,3537234,206.1685609372268,8001371.027836623,20346320.32174341
URAM,4,9,42,6315,16961,3553785900,562753.1116389548,3993.4060710491885,0.6323683406253663,20598656.368731704,3261.8616577564057,3476778,204.98661635516777,8006421.072641402,20286989.44057742
URAM,5,10,42,6084,16232,3562007400,585471.3017751479,3829.8953255729602,0.629502847727311,20580009.629114438,3382.644580722294,3376652,208.02439625431245,7410024.698399884,20262134.502834603
URAM,5,11,42,6037,16190,3555948600,589025.774391254,3777.714383128247,0.625760209231116,20536118.44703723,3401.7092010994256,3379440,208.7362569487338,7342442.523200811,20219166.81360632
URAM,5,2,42,4864,13542,3613612500,742930.2014802631,2997.6494334632557,0.6162930578666233,21576980.289209776,4436.0568028803,3027700,223.5784965293162,8524783.643631335,21227017.221099094
