zone,mean,species,timestep
81,7.29816283159741e-4,BLBR,0
82,5.215842487911711e-4,BLBR,0
83,0.001025143102816394,BLBR,0
84,6.620638366811925e-4,BLBR,0
85,7.311771502986439e-4,BLBR,0
86,4.696199524251794e-4,BLBR,0
87,3.1240002169478947e-4,BLBR,0
88,3.5092077084613026e-4,BLBR,0
89,6.655053842585661e-4,BLBR,0
90,4.0551683016677313e-4,BLBR,0
91,6.185983642822213e-4,BLBR,0
92,3.82783450286821e-4,BLBR,0
93,4.6023637345164807e-4,BLBR,0
94,4.724212522201429e-4,BLBR,0
95,6.140680141572875e-4,BLBR,0
96,5.149128905779606e-4,BLBR,0
97,6.269433184011042e-4,BLBR,0
98,5.485091484361879e-4,BLBR,0
99,5.645952482834511e-4,BLBR,0
100,8.735822635100927e-4,BLBR,0
101,5.707553648219899e-4,BLBR,0
102,7.50337066582354e-4,BLBR,0
103,5.215071539248404e-4,BLBR,0
104,6.590982079223005e-4,BLBR,0
105,6.653579887378698e-4,BLBR,0
106,5.108412312943718e-4,BLBR,0
107,5.838228571040956e-4,BLBR,0
108,8.817479664181636e-4,BLBR,0
109,5.111551465951028e-4,BLBR,0
110,4.909762568641716e-4,BLBR,0
111,4.748207310196509e-4,BLBR,0
112,6.658028222343117e-4,BLBR,0
113,5.574510872694233e-4,BLBR,0
114,5.86518776089607e-4,BLBR,0
115,6.460044509275677e-4,BLBR,0
116,5.060781906132272e-4,BLBR,0
117,5.391412934664922e-4,BLBR,0
118,5.587438322401313e-4,BLBR,0
119,6.036589606093751e-4,BLBR,0
120,0.0011683867885216633,BLBR,0
121,9.979046846587461e-4,BLBR,0
122,8.634113610764689e-4,BLBR,0
123,5.315124117134975e-4,BLBR,0
124,4.984716987151615e-4,BLBR,0
125,6.233821957109197e-4,BLBR,0
126,5.765648236938128e-4,BLBR,0
127,5.315898351607417e-4,BLBR,0
128,5.283958151105331e-4,BLBR,0
129,5.309677404495455e-4,BLBR,0
130,5.86592344152483e-4,BLBR,0
131,5.173852824679982e-4,BLBR,0
132,5.515274839075596e-4,BLBR,0
133,6.24470883696023e-4,BLBR,0
134,5.93317545300806e-4,BLBR,0
135,7.977977015222523e-4,BLBR,0
136,8.088176349251271e-4,BLBR,0
137,7.872158120713408e-4,BLBR,0
138,0.0010622249992811744,BLBR,0
139,7.400521523319249e-4,BLBR,0
140,6.132585726604583e-4,BLBR,0
141,6.257945417661533e-4,BLBR,0
142,5.253401509132154e-4,BLBR,0
143,9.601013179420549e-4,BLBR,0
144,8.124596464822133e-4,BLBR,0
145,5.938561721040878e-4,BLBR,0
146,5.261939353961534e-4,BLBR,0
147,3.9960981697932055e-4,BLBR,0
148,3.7249394275158605e-4,BLBR,0
149,5.263042563312071e-4,BLBR,0
150,5.790544408053003e-4,BLBR,0
151,5.25849961052168e-4,BLBR,0
152,4.624956380656616e-4,BLBR,0
153,8.115237754156453e-4,BLBR,0
154,7.718624075476815e-4,BLBR,0
155,7.583990865058265e-4,BLBR,0
156,7.384083840866282e-4,BLBR,0
157,0.001230653625923505,BLBR,0
158,5.182649395573594e-4,BLBR,0
159,8.831627718569572e-4,BLBR,0
160,5.721231639873238e-4,BLBR,0
161,7.019574391721181e-4,BLBR,0
162,9.772032500942947e-4,BLBR,0
163,5.345443486582591e-4,BLBR,0
164,7.480183747815619e-4,BLBR,0
165,9.418160430170138e-4,BLBR,0
166,9.93848713565012e-4,BLBR,0
167,3.2832961515931203e-4,BLBR,0
168,4.968200479594145e-4,BLBR,0
169,5.758904680330352e-4,BLBR,0
170,5.468891076368369e-4,BLBR,0
171,0.0011373016147880998,BLBR,0
172,0.0012368687463021532,BLBR,0
173,9.083097518882907e-4,BLBR,0
174,6.818956185071675e-4,BLBR,0
175,9.996944853479899e-4,BLBR,0
176,0.001148536915186744,BLBR,0
177,8.833380429041391e-4,BLBR,0
1,8.888046151796891e-4,BLBR,1
2,7.058206342156764e-4,BLBR,1
3,6.715869475830438e-4,BLBR,1
4,3.262440534997252e-4,BLBR,1
5,6.386403754476657e-4,BLBR,1
6,6.515645585427511e-4,BLBR,1
7,8.381512076963217e-4,BLBR,1
8,6.770860101801349e-4,BLBR,1
9,7.73913091577314e-4,BLBR,1
10,8.081851497273523e-4,BLBR,1
11,6.036958078399664e-4,BLBR,1
12,7.591686700114454e-4,BLBR,1
13,3.987661378817504e-4,BLBR,1
14,6.338121691075196e-4,BLBR,1
15,6.627758188993603e-4,BLBR,1
16,8.399256311237723e-4,BLBR,1
17,6.586953278427274e-4,BLBR,1
18,7.930102728880299e-4,BLBR,1
19,7.385639227455983e-4,BLBR,1
20,6.51525515270043e-4,BLBR,1
21,7.336001653458874e-4,BLBR,1
22,6.19902044658387e-4,BLBR,1
23,6.818009140343719e-4,BLBR,1
24,6.568879451735591e-4,BLBR,1
25,6.680613892461528e-4,BLBR,1
26,6.798444709715577e-4,BLBR,1
27,6.738658390640075e-4,BLBR,1
28,5.809986765525522e-4,BLBR,1
29,7.290484092440504e-4,BLBR,1
30,8.032430687174465e-4,BLBR,1
31,7.247337927646785e-4,BLBR,1
32,5.56806697691429e-4,BLBR,1
33,6.223898314316044e-4,BLBR,1
34,6.274263595273692e-4,BLBR,1
35,5.854799111073278e-4,BLBR,1
36,9.280128052750141e-4,BLBR,1
37,8.378295628793951e-4,BLBR,1
38,4.596611346369634e-4,BLBR,1
39,6.322991017375639e-4,BLBR,1
40,6.482070751904931e-4,BLBR,1
41,5.114158466401026e-4,BLBR,1
42,4.3490813793208477e-4,BLBR,1
43,5.80325198061013e-4,BLBR,1
44,6.685689013439873e-4,BLBR,1
45,7.182930996043289e-4,BLBR,1
46,4.79602333010098e-4,BLBR,1
47,9.64079148948204e-4,BLBR,1
48,3.6645605804222996e-4,BLBR,1
49,5.606599875265648e-4,BLBR,1
50,5.707616283242723e-4,BLBR,1
51,5.468421850163289e-4,BLBR,1
52,6.36031457069729e-4,BLBR,1
53,6.138659910184898e-4,BLBR,1
54,9.037991260600427e-4,BLBR,1
55,5.708166147838027e-4,BLBR,1
56,7.005203085534776e-4,BLBR,1
57,4.4396442598418036e-4,BLBR,1
