species,ts,n,bins
BLBR,0,7,2.3193942442750326
BLBR,0,7,2.3397866555741142
BLBR,0,11,2.3601790668731963
BLBR,0,8,2.3805714781722784
BLBR,0,8,2.40096388947136
BLBR,0,11,2.4213563007704417
BLBR,0,5,2.441748712069524
BLBR,0,10,2.462141123368606
BLBR,0,6,2.482533534667688
BLBR,0,8,2.5029259459667696
BLBR,0,12,2.5233183572658513
BLBR,0,8,2.5437107685649334
BLBR,0,10,2.5641031798640155
BLBR,0,8,2.584495591163097
BLBR,0,14,2.6048880024621788
BLBR,0,9,2.625280413761261
BLBR,0,9,2.645672825060343
BLBR,0,9,2.6660652363594246
BLBR,0,8,2.6864576476585067
BLBR,0,19,2.7068500589575883
BLBR,0,20,2.7272424702566704
BLBR,0,16,2.747634881555752
BLBR,0,14,2.768027292854834
BLBR,0,17,2.7884197041539163
BLBR,0,17,2.808812115452998
BLBR,0,17,2.82920452675208
BLBR,0,17,2.8495969380511617
BLBR,0,19,2.8699893493502437
BLBR,0,14,2.8903817606493254
BLBR,0,21,2.9107741719484075
BLBR,0,24,2.931166583247489
BLBR,0,15,2.9515589945465712
BLBR,0,16,2.9719514058456533
BLBR,0,26,2.992343817144735
BLBR,0,21,3.012736228443817
BLBR,0,15,3.0331286397428987
BLBR,0,23,3.053521051041981
BLBR,0,22,3.0739134623410624
BLBR,0,25,3.0943058736401445
BLBR,0,19,3.114698284939226
BLBR,0,20,3.1350906962383083
BLBR,0,30,3.1554831075373904
BLBR,0,23,3.175875518836472
BLBR,0,26,3.196267930135554
BLBR,0,28,3.2166603414346358
BLBR,0,26,3.237052752733718
BLBR,0,24,3.2574451640327995
BLBR,0,29,3.2778375753318816
BLBR,0,32,3.2982299866309632
BLBR,0,26,3.3186223979300453
BLBR,0,28,3.3390148092291274
BLBR,0,18,3.359407220528209
BLBR,0,32,3.379799631827291
BLBR,0,29,3.400192043126373
BLBR,0,38,3.420584454425455
BLBR,0,36,3.4409768657245365
BLBR,0,35,3.4613692770236186
BLBR,0,36,3.4817616883227003
BLBR,0,40,3.5021540996217824
BLBR,0,47,3.5225465109208645
BLBR,0,45,3.542938922219946
BLBR,0,54,3.563331333519028
BLBR,0,39,3.58372374481811
BLBR,0,37,3.604116156117192
BLBR,0,45,3.6245085674162736
BLBR,0,48,3.6449009787153557
BLBR,0,42,3.6652933900144373
BLBR,0,58,3.6856858013135194
BLBR,0,65,3.7060782126126015
BLBR,0,52,3.726470623911683
BLBR,0,43,3.7468630352107652
BLBR,0,56,3.767255446509847
BLBR,0,66,3.787647857808929
BLBR,0,76,3.8080402691080106
BLBR,0,59,3.8284326804070927
BLBR,0,67,3.8488250917061744
BLBR,0,55,3.8692175030052565
BLBR,0,80,3.8896099143043386
BLBR,0,77,3.91000232560342
BLBR,0,70,3.9303947369025023
BLBR,0,89,3.950787148201584
BLBR,0,83,3.971179559500666
BLBR,0,61,3.9915719707997477
BLBR,0,90,4.01196438209883
BLBR,0,86,4.032356793397911
BLBR,0,94,4.052749204696994
BLBR,0,103,4.073141615996075
BLBR,0,81,4.093534027295157
BLBR,0,110,4.113926438594239
BLBR,0,108,4.1343188498933205
BLBR,0,102,4.1547112611924035
BLBR,0,138,4.175103672491485
BLBR,0,113,4.195496083790567
BLBR,0,142,4.215888495089649
BLBR,0,157,4.23628090638873
BLBR,0,148,4.256673317687813
BLBR,0,161,4.277065728986894
BLBR,0,171,4.297458140285976
BLBR,0,173,4.3178505515850585
BLBR,0,172,4.33824296288414
BLBR,0,169,4.358635374183222
BLBR,0,134,4.379027785482304
BLBR,0,171,4.399420196781385
BLBR,0,175,4.419812608080468
BLBR,0,171,4.440205019379549
BLBR,0,159,4.460597430678631
BLBR,0,162,4.480989841977713
BLBR,0,187,4.501382253276795
BLBR,0,174,4.521774664575878
BLBR,0,146,4.542167075874959
BLBR,0,157,4.562559487174041
BLBR,0,172,4.582951898473123
BLBR,0,178,4.603344309772204
BLBR,0,174,4.623736721071286
BLBR,0,170,4.644129132370368
BLBR,0,190,4.6645215436694505
BLBR,0,158,4.684913954968533
BLBR,0,155,4.705306366267614
BLBR,0,192,4.725698777566696
BLBR,0,177,4.746091188865778
BLBR,0,185,4.76648360016486
BLBR,0,202,4.786876011463941
BLBR,0,187,4.807268422763023
BLBR,0,216,4.827660834062105
BLBR,0,191,4.8480532453611875
BLBR,0,212,4.86844565666027
BLBR,0,215,4.888838067959351
BLBR,0,229,4.909230479258433
BLBR,0,287,4.929622890557515
BLBR,0,263,4.950015301856597
BLBR,0,344,4.970407713155678
BLBR,0,333,4.99080012445476
BLBR,0,336,5.0111925357538425
BLBR,0,347,5.031584947052925
BLBR,0,360,5.051977358352007
BLBR,0,332,5.072369769651088
BLBR,0,384,5.09276218095017
BLBR,0,371,5.113154592249252
BLBR,0,357,5.133547003548334
BLBR,0,433,5.153939414847415
BLBR,0,464,5.1743318261464974
BLBR,0,403,5.1947242374455795
BLBR,0,400,5.215116648744662
BLBR,0,416,5.235509060043744
BLBR,0,450,5.255901471342825
BLBR,0,412,5.276293882641907
BLBR,0,457,5.296686293940989
BLBR,0,516,5.317078705240071
