timestep,value,mean_count,sd_count,new_class,area,scenario
2010,23,3980,0,mixt_3,3223.8,43
2010,31,1183,0,conif_1,958.23,43
2010,32,17296,0,conif_2,14009.76,43
2010,33,4067,0,conif_3,3294.2700000000004,43
2100,1,624835.1,458.1175128234628,Agriculture,506116.43100000004,43
2100,2,213299.7,251.53265747766784,Urban,172772.757,43
2100,4,76245,0,Roads,61758.450000000004,43
2100,5,24666,0,Water,19979.460000000003,43
2100,6,25524,0,Wetlands,20674.440000000002,43
2100,11,7533.8,62.0838143158102,decid_1,6102.378000000001,43
2100,12,331685.7,557.9438542043854,decid_2,268665.417,43
2100,13,12320.8,218.0248711602519,decid_3,9979.848,43
2100,21,1954.9,26.316239177444114,mixt_1,1583.4690000000003,43
2100,22,59819.2,230.57310241126467,mixt_2,48453.552,43
2100,23,4294.1,48.41820135261349,mixt_3,3478.2210000000005,43
2100,31,507.9,14.425671561490647,conif_1,411.399,43
2100,32,6934.3,59.60993578628016,conif_2,5616.783,43
2100,33,3097.5,55.71006292503277,conif_3,2508.9750000000004,43
2010,1,738488,0,Agriculture,598175.28,44
2010,2,103477,0,Urban,83816.37000000001,44
2010,4,76245,0,Roads,61758.450000000004,44
2010,5,24666,0,Water,19979.460000000003,44
2010,6,25524,0,Wetlands,20674.440000000002,44
2010,11,44121,0,decid_1,35738.01,44
2010,12,257125,0,decid_2,208271.25,44
2010,13,4486,0,decid_3,3633.6600000000003,44
2010,21,9130,0,mixt_1,7395.3,44
2010,22,82930,0,mixt_2,67173.3,44
2010,23,3980,0,mixt_3,3223.8,44
2010,31,1183,0,conif_1,958.23,44
2010,32,17296,0,conif_2,14009.76,44
2010,33,4067,0,conif_3,3294.2700000000004,44
2100,1,731796.3,357.0194672563388,Agriculture,592755.003,44
2100,2,197147.3,197.98768199618436,Urban,159689.313,44
2100,4,76245,0,Roads,61758.450000000004,44
2100,5,24666,0,Water,19979.460000000003,44
2100,6,25524,0,Wetlands,20674.440000000002,44
2100,11,32090.9,76.60352472308307,decid_1,25993.629000000004,44
2100,12,209557.4,166.4466547843149,decid_2,169741.494,44
2100,13,3486.6,12.231107881136525,decid_3,2824.146,44
2100,21,6429.4,27.741665415039524,mixt_1,5207.814,44
2100,22,64810.2,74.80017825290705,mixt_2,52496.262,44
2100,23,3229.1,14.525456581081674,mixt_3,2615.571,44
2100,31,711.6,7.152311203768718,conif_1,576.3960000000001,44
2100,32,13637.9,39.848184121460015,conif_2,11046.699,44
2100,33,3386.3,10.614978934401039,conif_3,2742.9030000000002,44
2010,1,738488,0,Agriculture,598175.28,45
2010,2,103477,0,Urban,83816.37000000001,45
2010,4,76245,0,Roads,61758.450000000004,45
2010,5,24666,0,Water,19979.460000000003,45
