scenario,timestep,iter,species,kp_nb
52,6,9,URAM,886
51,6,7,RASY,873
52,5,8,PLCI,987
41,11,5,PLCI,700
49,11,7,BLBR,752
39,3,4,RASY,1049
40,11,6,RASY,913
42,7,1,MAAM,1117
40,10,3,URAM,1145
39,4,5,RASY,1027
46,4,7,URAM,1057
52,8,2,BLBR,908
46,6,5,URAM,1121
39,10,3,PLCI,967
47,4,2,MAAM,1264
49,5,4,MAAM,1223
42,6,8,RASY,816
39,5,7,BLBR,1136
40,7,9,URAM,1129
49,5,2,RASY,888
43,5,7,RASY,839
50,6,1,BLBR,1046
39,4,8,MAAM,1260
42,10,1,PLCI,720
41,11,10,MAAM,1026
47,9,6,MAAM,1145
49,5,3,URAM,903
45,10,7,MAAM,1182
43,10,9,MAAM,990
38,4,9,URAM,1057
47,4,4,MAAM,1230
50,7,10,URAM,885
46,6,5,PLCI,1045
52,2,7,RASY,1077
45,3,5,URAM,1069
52,3,8,RASY,987
48,7,8,MAAM,1168
41,6,1,URAM,863
49,4,8,URAM,917
51,8,6,PLCI,876
45,4,3,MAAM,1279
50,10,8,RASY,736
51,6,2,PLCI,933
44,4,1,BLBR,1191
44,3,6,PLCI,1124
47,4,4,BLBR,1099
43,3,8,RASY,982
40,7,5,BLBR,1074
45,9,6,MAAM,1177
51,5,10,MAAM,1223
39,4,5,MAAM,1279
43,5,3,MAAM,1181
41,11,4,PLCI,750
42,11,7,PLCI,660
46,4,6,URAM,1084
46,2,8,URAM,1078
43,9,6,URAM,739
41,2,5,MAAM,1325
48,4,8,RASY,947
51,8,5,MAAM,1159
45,5,7,URAM,1063
40,10,9,URAM,1161
49,6,1,MAAM,1201
38,5,4,BLBR,1162
44,2,7,URAM,1078
39,9,4,PLCI,965
45,6,6,URAM,1080
47,11,4,BLBR,850
49,4,10,RASY,923
42,2,1,MAAM,1325
45,3,8,MAAM,1312
49,11,2,RASY,731
45,7,9,URAM,1115
52,5,8,BLBR,1033
46,10,5,URAM,1106
52,9,1,MAAM,1140
48,11,10,PLCI,747
51,11,5,PLCI,744
38,7,5,BLBR,1099
51,5,8,RASY,951
39,2,7,BLBR,1218
48,9,5,BLBR,809
44,11,10,BLBR,1043
50,8,6,RASY,832
49,7,4,BLBR,915
40,6,2,PLCI,1071
52,7,10,PLCI,919
38,2,2,URAM,1078
49,8,9,PLCI,831
46,11,9,MAAM,1112
51,9,6,PLCI,845
46,3,9,BLBR,1211
44,6,8,PLCI,1107
40,8,5,MAAM,1153
46,11,4,BLBR,1022
47,11,7,PLCI,722
42,9,8,URAM,773
41,8,9,MAAM,1136
50,10,4,BLBR,891
44,3,5,URAM,1059
43,11,5,MAAM,948
52,2,3,BLBR,1218
51,7,9,MAAM,1168
45,11,8,RASY,980
44,3,2,URAM,1071
51,10,3,URAM,791
46,9,10,MAAM,1180
45,8,1,PLCI,1025
48,10,8,PLCI,762
50,11,6,URAM,687
47,3,1,URAM,992
42,11,9,PLCI,686
51,5,8,PLCI,1002
51,8,7,PLCI,876
50,4,4,BLBR,1105
38,3,7,MAAM,1325
41,8,2,BLBR,888
40,9,6,BLBR,1006
38,8,6,URAM,1110
45,6,4,BLBR,1134
41,10,5,MAAM,1031
52,3,2,BLBR,1134
44,10,9,BLBR,1055
48,6,5,URAM,866
47,4,10,URAM,929
50,9,3,URAM,835
41,9,10,MAAM,1083
39,7,9,BLBR,1072
52,8,5,URAM,863
48,8,9,URAM,865
48,7,5,URAM,836
45,10,1,RASY,974
44,9,6,URAM,1110
41,5,6,RASY,868
44,7,6,BLBR,1133
50,10,3,URAM,776
49,6,9,PLCI,912
47,4,1,RASY,921
50,6,5,RASY,899
52,4,5,PLCI,1006
51,6,10,BLBR,1008
47,11,1,URAM,763
46,3,3,PLCI,1093
48,2,1,RASY,1077
45,8,2,BLBR,1069
39,6,10,BLBR,1107
39,7,7,MAAM,1184
46,7,9,URAM,1114
39,7,9,RASY,994
49,9,3,RASY,751
40,2,2,URAM,1078
50,6,7,RASY,899
44,4,8,BLBR,1200
42,8,9,MAAM,1067
44,6,4,MAAM,1280
52,5,4,BLBR,1022
48,11,1,BLBR,759
41,3,5,MAAM,1267
48,5,8,RASY,881
48,6,10,MAAM,1202
42,8,3,URAM,812
52,7,8,URAM,869
47,7,4,MAAM,1167
46,8,5,MAAM,1208
42,2,2,URAM,1078
46,4,8,MAAM,1286
46,2,9,PLCI,1134
51,7,4,MAAM,1163
38,4,7,MAAM,1308
38,3,10,BLBR,1224
40,10,9,MAAM,1109
52,8,6,PLCI,874
42,6,8,MAAM,1137
43,8,2,BLBR,849
38,7,8,BLBR,1099
43,7,1,RASY,775
42,7,6,BLBR,903
38,2,8,PLCI,1134
48,5,5,MAAM,1217
45,6,1,BLBR,1115
51,11,9,BLBR,761
46,10,2,MAAM,1159
51,2,3,BLBR,1218
44,6,7,PLCI,1087
42,10,10,URAM,730
50,8,10,BLBR,965
40,3,8,RASY,1058
43,8,3,RASY,746
47,10,4,RASY,761
45,7,1,MAAM,1219
38,4,1,BLBR,1181
48,11,2,BLBR,744
51,6,10,PLCI,967
49,9,6,RASY,767
51,3,8,URAM,973
50,6,4,URAM,915
52,3,2,RASY,997
48,5,2,RASY,906
51,9,7,RASY,808
43,5,2,URAM,913
43,4,3,URAM,894
51,6,1,BLBR,968
44,5,4,MAAM,1310
41,10,10,MAAM,1047
42,10,7,URAM,749
43,2,4,URAM,1078
41,2,5,BLBR,1218
41,4,2,PLCI,983
43,7,3,BLBR,859
50,5,10,PLCI,1012
49,9,5,PLCI,783
46,3,9,RASY,1065
49,6,8,RASY,846
52,3,3,BLBR,1143
46,4,1,URAM,1076
47,11,6,RASY,711
51,11,2,RASY,698
41,4,4,BLBR,1092
43,7,1,MAAM,1077
51,3,10,RASY,1026
52,4,9,MAAM,1278
41,5,5,BLBR,1025
40,4,9,PLCI,1071
41,7,5,RASY,773
51,11,5,RASY,723
46,7,10,PLCI,1050
43,7,10,PLCI,838
49,6,7,BLBR,975
42,10,5,URAM,771
47,11,4,MAAM,1110
44,4,6,URAM,1079
42,3,6,MAAM,1274
45,2,3,URAM,1078
47,2,3,RASY,1077
46,4,7,BLBR,1164
43,10,4,RASY,696
42,10,9,RASY,675
52,7,8,PLCI,886
