TransitionGroupID,Timestep,TertiaryStratumID,Amount,srcClassID,destClassID
mixt_1_to_mixt_2 [Type],0,4,0.03677449191983995,21,22
mixt_3_to_mixt_2 [Type],0,4,0.3647984472167688,23,22
conif_1_to_mixt_2 [Type],0,4,0,31,22
conif_2_to_mixt_2 [Type],0,4,0.15549699856178667,32,22
conif_3_to_mixt_2 [Type],0,4,0.10474501873405861,33,22
decid_1_to_mixt_3 [Type],0,4,0,11,23
decid_2_to_mixt_3 [Type],0,4,0,12,23
decid_3_to_mixt_3 [Type],0,4,0,13,23
mixt_1_to_mixt_3 [Type],0,4,0,21,23
mixt_2_to_mixt_3 [Type],0,4,0.016801973928592506,22,23
conif_1_to_mixt_3 [Type],0,4,0,31,23
conif_2_to_mixt_3 [Type],0,4,0.0011334017016116915,32,23
conif_3_to_mixt_3 [Type],0,4,0.00706197276671594,33,23
decid_1_to_conif_1 [Type],0,4,0,11,31
decid_2_to_conif_1 [Type],0,4,0,12,31
decid_3_to_conif_1 [Type],0,4,0,13,31
mixt_1_to_conif_1 [Type],0,4,0,21,31
mixt_2_to_conif_1 [Type],0,4,1.75392441934763e-4,22,31
mixt_3_to_conif_1 [Type],0,4,0,23,31
conif_2_to_conif_1 [Type],0,4,0.047574817088527954,32,31
conif_3_to_conif_1 [Type],0,4,0.089973545358077,33,31
decid_1_to_conif_2 [Type],0,4,0,11,32
decid_2_to_conif_2 [Type],0,4,0,12,32
decid_3_to_conif_2 [Type],0,4,0,13,32
mixt_1_to_conif_2 [Type],0,4,0,21,32
mixt_2_to_conif_2 [Type],0,4,0.0017113907708197207,22,32
mixt_3_to_conif_2 [Type],0,4,0,23,32
conif_1_to_conif_2 [Type],0,4,0.004611861627701552,31,32
conif_3_to_conif_2 [Type],0,4,0.20557498081246772,33,32
decid_1_to_conif_3 [Type],0,4,0,11,33
decid_2_to_conif_3 [Type],0,4,0,12,33
decid_3_to_conif_3 [Type],0,4,0,13,33
mixt_1_to_conif_3 [Type],0,4,0,21,33
mixt_2_to_conif_3 [Type],0,4,9.211538307624112e-4,22,33
mixt_3_to_conif_3 [Type],0,4,0,23,33
conif_1_to_conif_3 [Type],0,4,0,31,33
conif_2_to_conif_3 [Type],0,4,0.02826534618427312,32,33
decid_2_to_decid_1 [Type],0,5,0.07239245147796103,12,11
decid_3_to_decid_1 [Type],0,5,0.032426790022239804,13,11
mixt_1_to_decid_1 [Type],0,5,0.03981709059565375,21,11
mixt_2_to_decid_1 [Type],0,5,0.02670561915751113,22,11
mixt_3_to_decid_1 [Type],0,5,0.00527708169032004,23,11
conif_1_to_decid_1 [Type],0,5,0,31,11
conif_2_to_decid_1 [Type],0,5,0.0054417236892086995,32,11
conif_3_to_decid_1 [Type],0,5,0,33,11
decid_1_to_decid_2 [Type],0,5,0.09241946795596756,11,12
decid_3_to_decid_2 [Type],0,5,0.5043592811095703,13,12
mixt_1_to_decid_2 [Type],0,5,0,21,12
mixt_2_to_decid_2 [Type],0,5,0.051800909355305236,22,12
mixt_3_to_decid_2 [Type],0,5,0.1744220525181035,23,12
conif_1_to_decid_2 [Type],0,5,0,31,12
conif_2_to_decid_2 [Type],0,5,0.0039876903451037116,32,12
conif_3_to_decid_2 [Type],0,5,0.008368347957098954,33,12
decid_1_to_decid_3 [Type],0,5,0,11,13
decid_2_to_decid_3 [Type],0,5,0.021956869759180764,12,13
mixt_1_to_decid_3 [Type],0,5,0,21,13
mixt_2_to_decid_3 [Type],0,5,1.1481715406114201e-4,22,13
mixt_3_to_decid_3 [Type],0,5,0.029378929160357337,23,13
conif_1_to_decid_3 [Type],0,5,0,31,13
conif_2_to_decid_3 [Type],0,5,0,32,13
conif_3_to_decid_3 [Type],0,5,0.003034908364694111,33,13
decid_1_to_mixt_1 [Type],0,5,0.005377782069300396,11,21
decid_2_to_mixt_1 [Type],0,5,0.0018112918636384867,12,21
decid_3_to_mixt_1 [Type],0,5,0,13,21
mixt_2_to_mixt_1 [Type],0,5,0.17543456806027635,22,21
mixt_3_to_mixt_1 [Type],0,5,0.003955190185755408,23,21
conif_1_to_mixt_1 [Type],0,5,0.6018010950985764,31,21
conif_2_to_mixt_1 [Type],0,5,0.10258451171672489,32,21
conif_3_to_mixt_1 [Type],0,5,0.054516317465291175,33,21
decid_1_to_mixt_2 [Type],0,5,7.788500164768175e-4,11,22
decid_2_to_mixt_2 [Type],0,5,0.0029534230159539154,12,22
decid_3_to_mixt_2 [Type],0,5,0,13,22
mixt_1_to_mixt_2 [Type],0,5,0.05195965918908385,21,22
mixt_3_to_mixt_2 [Type],0,5,0.3213791074617036,23,22
conif_1_to_mixt_2 [Type],0,5,0,31,22
conif_2_to_mixt_2 [Type],0,5,0.15362354036002046,32,22
conif_3_to_mixt_2 [Type],0,5,0.16153097670199945,33,22
decid_1_to_mixt_3 [Type],0,5,0,11,23
decid_2_to_mixt_3 [Type],0,5,0,12,23
decid_3_to_mixt_3 [Type],0,5,0,13,23
mixt_1_to_mixt_3 [Type],0,5,0,21,23
mixt_2_to_mixt_3 [Type],0,5,0.017197241092502646,22,23
conif_1_to_mixt_3 [Type],0,5,0,31,23
conif_2_to_mixt_3 [Type],0,5,0.0018106116609112322,32,23
conif_3_to_mixt_3 [Type],0,5,0.015268072165338098,33,23
decid_1_to_conif_1 [Type],0,5,0,11,31
decid_2_to_conif_1 [Type],0,5,0,12,31
decid_3_to_conif_1 [Type],0,5,0,13,31
mixt_1_to_conif_1 [Type],0,5,6.099421122510718e-4,21,31
mixt_2_to_conif_1 [Type],0,5,2.2964749412934804e-4,22,31
mixt_3_to_conif_1 [Type],0,5,0,23,31
conif_2_to_conif_1 [Type],0,5,0.0654563013177265,32,31
conif_3_to_conif_1 [Type],0,5,0.06256313343890774,33,31
decid_1_to_conif_2 [Type],0,5,0,11,32
decid_2_to_conif_2 [Type],0,5,0,12,32
decid_3_to_conif_2 [Type],0,5,0,13,32
mixt_1_to_conif_2 [Type],0,5,0,21,32
mixt_2_to_conif_2 [Type],0,5,0.005988077791550195,22,32
mixt_3_to_conif_2 [Type],0,5,0,23,32
conif_1_to_conif_2 [Type],0,5,0.0031762917720042916,31,32
conif_3_to_conif_2 [Type],0,5,0.18908955021176477,33,32
decid_1_to_conif_3 [Type],0,5,0,11,33
decid_2_to_conif_3 [Type],0,5,0,12,33
decid_3_to_conif_3 [Type],0,5,0,13,33
mixt_1_to_conif_3 [Type],0,5,0,21,33
mixt_2_to_conif_3 [Type],0,5,9.763664275603823e-4,22,33
mixt_3_to_conif_3 [Type],0,5,0,23,33
conif_1_to_conif_3 [Type],0,5,0,31,33
conif_2_to_conif_3 [Type],0,5,0.025283446893331618,32,33
decid_2_to_decid_1 [Type],0,6,0.06584158371995541,12,11
decid_3_to_decid_1 [Type],0,6,0.04387196626786383,13,11
mixt_1_to_decid_1 [Type],0,6,0.08337238446192885,21,11
mixt_2_to_decid_1 [Type],0,6,0.037354345217481266,22,11
mixt_3_to_decid_1 [Type],0,6,0.0011855368720602444,23,11
conif_1_to_decid_1 [Type],0,6,0.002042903052972611,31,11
conif_2_to_decid_1 [Type],0,6,0.001483680342337368,32,11
conif_3_to_decid_1 [Type],0,6,0,33,11
decid_1_to_decid_2 [Type],0,6,0.10994597372990156,11,12
decid_3_to_decid_2 [Type],0,6,0.5096151683041042,13,12
mixt_1_to_decid_2 [Type],0,6,0.009061675538483471,21,12
mixt_2_to_decid_2 [Type],0,6,0.04102128286909046,22,12
mixt_3_to_decid_2 [Type],0,6,0.1278397468876462,23,12
conif_1_to_decid_2 [Type],0,6,0,31,12
conif_2_to_decid_2 [Type],0,6,3.7071363646468125e-4,32,12
conif_3_to_decid_2 [Type],0,6,0.019220241843178942,33,12
decid_1_to_decid_3 [Type],0,6,0,11,13
decid_2_to_decid_3 [Type],0,6,0.024233174235363864,12,13
mixt_1_to_decid_3 [Type],0,6,0,21,13
mixt_2_to_decid_3 [Type],0,6,1.4993627792492248e-4,22,13
mixt_3_to_decid_3 [Type],0,6,0.014320548533827915,23,13
conif_1_to_decid_3 [Type],0,6,0,31,13
conif_2_to_decid_3 [Type],0,6,0,32,13
conif_3_to_decid_3 [Type],0,6,0.0063654370594535825,33,13
decid_1_to_mixt_1 [Type],0,6,0.003945496016391714,11,21
decid_2_to_mixt_1 [Type],0,6,7.064309639051025e-4,12,21
decid_3_to_mixt_1 [Type],0,6,4.5903146784009863e-4,13,21
mixt_2_to_mixt_1 [Type],0,6,0.1852190073602502,22,21
mixt_3_to_mixt_1 [Type],0,6,0,23,21
conif_1_to_mixt_1 [Type],0,6,0.5550739570743595,31,21
conif_2_to_mixt_1 [Type],0,6,0.07069775172797521,32,21
conif_3_to_mixt_1 [Type],0,6,0.0703693217360224,33,21
