StratumID,TransitionGroupID,Amount,Timestep,TertiaryStratumID,srcClassID,destClassID
NA,decid_3_to_conif_2 [Type],0,0,7,13,32
NA,mixt_1_to_conif_2 [Type],0,0,7,21,32
NA,mixt_2_to_conif_2 [Type],0.0031131172050733458,0,7,22,32
NA,mixt_3_to_conif_2 [Type],0,0,7,23,32
NA,conif_1_to_conif_2 [Type],0.011854779685204098,0,7,31,32
NA,conif_3_to_conif_2 [Type],0.2169747822578687,0,7,33,32
NA,decid_1_to_conif_3 [Type],0,0,7,11,33
NA,decid_2_to_conif_3 [Type],0,0,7,12,33
NA,decid_3_to_conif_3 [Type],0,0,7,13,33
NA,mixt_1_to_conif_3 [Type],0,0,7,21,33
NA,mixt_2_to_conif_3 [Type],0.0013824095083386778,0,7,22,33
NA,mixt_3_to_conif_3 [Type],0,0,7,23,33
NA,conif_1_to_conif_3 [Type],0,0,7,31,33
NA,conif_2_to_conif_3 [Type],0.028694515904319928,0,7,32,33
NA,decid_2_to_decid_1 [Type],0.05553788940035087,0,8,12,11
NA,decid_3_to_decid_1 [Type],0.0626565641329716,0,8,13,11
NA,mixt_1_to_decid_1 [Type],0.036619329685811386,0,8,21,11
NA,mixt_2_to_decid_1 [Type],0.04755898667792302,0,8,22,11
NA,mixt_3_to_decid_1 [Type],0.0025806494634554866,0,8,23,11
NA,conif_1_to_decid_1 [Type],9.358916416245533e-4,0,8,31,11
NA,conif_2_to_decid_1 [Type],6.617195979138346e-4,0,8,32,11
NA,conif_3_to_decid_1 [Type],0,0,8,33,11
NA,decid_1_to_decid_2 [Type],0.12470595943762708,0,8,11,12
NA,decid_3_to_decid_2 [Type],0.4045775127332131,0,8,13,12
NA,mixt_1_to_decid_2 [Type],0.001037524055943706,0,8,21,12
NA,mixt_2_to_decid_2 [Type],0.07774288249368877,0,8,22,12
NA,mixt_3_to_decid_2 [Type],0.10855536373877939,0,8,23,12
NA,conif_1_to_decid_2 [Type],0,0,8,31,12
NA,conif_2_to_decid_2 [Type],0.003597474502401332,0,8,32,12
NA,conif_3_to_decid_2 [Type],0.0019557312701091734,0,8,33,12
NA,decid_1_to_decid_3 [Type],0,0,8,11,13
NA,decid_2_to_decid_3 [Type],0.015588872225272277,0,8,12,13
NA,mixt_1_to_decid_3 [Type],0,0,8,21,13
NA,mixt_2_to_decid_3 [Type],0.001510411909670828,0,8,22,13
NA,mixt_3_to_decid_3 [Type],0.010145972093069666,0,8,23,13
NA,conif_1_to_decid_3 [Type],0,0,8,31,13
NA,conif_2_to_decid_3 [Type],9.450456005599683e-5,0,8,32,13
NA,conif_3_to_decid_3 [Type],1.7763567064377206e-4,0,8,33,13
NA,decid_1_to_mixt_1 [Type],0.009356262336528531,0,8,11,21
NA,decid_2_to_mixt_1 [Type],0.0028788500903315084,0,8,12,21
NA,decid_3_to_mixt_1 [Type],8.834988271568811e-4,0,8,13,21
NA,mixt_2_to_mixt_1 [Type],0.1458192004661033,0,8,22,21
NA,mixt_3_to_mixt_1 [Type],0.004736302189869757,0,8,23,21
NA,conif_1_to_mixt_1 [Type],0.6012179440381551,0,8,31,21
NA,conif_2_to_mixt_1 [Type],0.03393430177708234,0,8,32,21
NA,conif_3_to_mixt_1 [Type],0.013951676323507023,0,8,33,21
NA,decid_1_to_mixt_2 [Type],8.987150193340288e-4,0,8,11,22
NA,decid_2_to_mixt_2 [Type],0.006639288311852343,0,8,12,22
NA,decid_3_to_mixt_2 [Type],8.834988271568811e-4,0,8,13,22
NA,mixt_1_to_mixt_2 [Type],0.0357227444100342,0,8,21,22
NA,mixt_3_to_mixt_2 [Type],0.4137896182394506,0,8,23,22
NA,conif_1_to_mixt_2 [Type],0,0,8,31,22
NA,conif_2_to_mixt_2 [Type],0.22291853460811206,0,8,32,22
NA,conif_3_to_mixt_2 [Type],0.1979156814919968,0,8,33,22
NA,decid_1_to_mixt_3 [Type],0,0,8,11,23
NA,decid_2_to_mixt_3 [Type],3.616048022303531e-5,0,8,12,23
NA,decid_3_to_mixt_3 [Type],6.42467139880587e-4,0,8,13,23
NA,mixt_1_to_mixt_3 [Type],0,0,8,21,23
NA,mixt_2_to_mixt_3 [Type],0.013749840250816714,0,8,22,23
NA,conif_1_to_mixt_3 [Type],0,0,8,31,23
NA,conif_2_to_mixt_3 [Type],0.00587627114026279,0,8,32,23
NA,conif_3_to_mixt_3 [Type],0.010355572762446918,0,8,33,23
NA,decid_1_to_conif_1 [Type],0,0,8,11,31
NA,decid_2_to_conif_1 [Type],0,0,8,12,31
NA,decid_3_to_conif_1 [Type],0,0,8,13,31
NA,mixt_1_to_conif_1 [Type],0,0,8,21,31
NA,mixt_2_to_conif_1 [Type],2.3959556612918043e-4,0,8,22,31
NA,mixt_3_to_conif_1 [Type],0,0,8,23,31
NA,conif_2_to_conif_1 [Type],0.03726591061865536,0,8,32,31
NA,conif_3_to_conif_1 [Type],0.03176562883084888,0,8,33,31
NA,decid_1_to_conif_2 [Type],0,0,8,11,32
NA,decid_2_to_conif_2 [Type],0,0,8,12,32
NA,decid_3_to_conif_2 [Type],0,0,8,13,32
NA,mixt_1_to_conif_2 [Type],0,0,8,21,32
NA,mixt_2_to_conif_2 [Type],0.0010786326081534403,0,8,22,32
NA,mixt_3_to_conif_2 [Type],0,0,8,23,32
NA,conif_1_to_conif_2 [Type],0.004688258358428232,0,8,31,32
NA,conif_3_to_conif_2 [Type],0.2586795900108847,0,8,33,32
NA,decid_1_to_conif_3 [Type],0,0,8,11,33
NA,decid_2_to_conif_3 [Type],0,0,8,12,33
NA,decid_3_to_conif_3 [Type],0,0,8,13,33
NA,mixt_1_to_conif_3 [Type],0,0,8,21,33
NA,mixt_2_to_conif_3 [Type],3.114854336325745e-4,0,8,22,33
NA,mixt_3_to_conif_3 [Type],0,0,8,23,33
NA,conif_1_to_conif_3 [Type],0,0,8,31,33
NA,conif_2_to_conif_3 [Type],0.03805149548173559,0,8,32,33
NA,decid_2_to_decid_1 [Type],0.051830674595574666,0,9,12,11
NA,decid_3_to_decid_1 [Type],0.07511228966952377,0,9,13,11
NA,mixt_1_to_decid_1 [Type],0.04553311961015427,0,9,21,11
NA,mixt_2_to_decid_1 [Type],0.04364532603134419,0,9,22,11
NA,mixt_3_to_decid_1 [Type],7.388253686857471e-4,0,9,23,11
NA,conif_1_to_decid_1 [Type],0.0020682545409023145,0,9,31,11
NA,conif_2_to_decid_1 [Type],3.619909620869999e-4,0,9,32,11
NA,conif_3_to_decid_1 [Type],0,0,9,33,11
NA,decid_1_to_decid_2 [Type],0.1430508075557746,0,9,11,12
NA,decid_3_to_decid_2 [Type],0.38034865515723515,0,9,13,12
NA,mixt_1_to_decid_2 [Type],0.0011716465651905317,0,9,21,12
NA,mixt_2_to_decid_2 [Type],0.08322834622368036,0,9,22,12
NA,mixt_3_to_decid_2 [Type],0.07480689867384605,0,9,23,12
NA,conif_1_to_decid_2 [Type],0,0,9,31,12
NA,conif_2_to_decid_2 [Type],0.004716151807598878,0,9,32,12
NA,conif_3_to_decid_2 [Type],0.0023037713669886717,0,9,33,12
NA,decid_1_to_decid_3 [Type],0,0,9,11,13
NA,decid_2_to_decid_3 [Type],0.01949520009173611,0,9,12,13
NA,mixt_1_to_decid_3 [Type],0,0,9,21,13
NA,mixt_2_to_decid_3 [Type],0.0012021299210844827,0,9,22,13
NA,mixt_3_to_decid_3 [Type],0.009647720943602334,0,9,23,13
NA,conif_1_to_decid_3 [Type],0,0,9,31,13
NA,conif_2_to_decid_3 [Type],1.8097909839631665e-4,0,9,32,13
NA,conif_3_to_decid_3 [Type],0,0,9,33,13
NA,decid_1_to_mixt_1 [Type],0.005757514565926325,0,9,11,21
NA,decid_2_to_mixt_1 [Type],0.0026924206027292286,0,9,12,21
NA,decid_3_to_mixt_1 [Type],5.491991260918594e-4,0,9,13,21
NA,mixt_2_to_mixt_1 [Type],0.11825049281182753,0,9,22,21
NA,mixt_3_to_mixt_1 [Type],0.0040703221659942335,0,9,23,21
NA,conif_1_to_mixt_1 [Type],0.5523246453729042,0,9,31,21
NA,conif_2_to_mixt_1 [Type],0.029385798031672627,0,9,32,21
NA,conif_3_to_mixt_1 [Type],0.004282674925764174,0,9,33,21
NA,decid_1_to_mixt_2 [Type],0.0011368739651628212,0,9,11,22
NA,decid_2_to_mixt_2 [Type],0.007397369825216549,0,9,12,22
NA,decid_3_to_mixt_2 [Type],0.002015207690608145,0,9,13,22
NA,mixt_1_to_mixt_2 [Type],0.039113894507607494,0,9,21,22
NA,mixt_3_to_mixt_2 [Type],0.44172665430980496,0,9,23,22
