StratumID,TransitionGroupID,Amount,Timestep,TertiaryStratumID,srcClassID,destClassID
NA,conif_1_to_conif_2 [Type],0.009559433455880284,0,5,31,32
NA,conif_3_to_conif_2 [Type],0.19189709626168083,0,5,33,32
NA,decid_1_to_conif_3 [Type],0,0,5,11,33
NA,decid_2_to_conif_3 [Type],0,0,5,12,33
NA,decid_3_to_conif_3 [Type],0,0,5,13,33
NA,mixt_1_to_conif_3 [Type],0,0,5,21,33
NA,mixt_2_to_conif_3 [Type],5.742176758284367e-4,0,5,22,33
NA,mixt_3_to_conif_3 [Type],0,0,5,23,33
NA,conif_1_to_conif_3 [Type],0,0,5,31,33
NA,conif_2_to_conif_3 [Type],0.023058910215755235,0,5,32,33
NA,decid_2_to_decid_1 [Type],0.07381312013489683,0,6,12,11
NA,decid_3_to_decid_1 [Type],0.0471173659026064,0,6,13,11
NA,mixt_1_to_decid_1 [Type],0.08477933481625266,0,6,21,11
NA,mixt_2_to_decid_1 [Type],0.034166896814777914,0,6,22,11
NA,mixt_3_to_decid_1 [Type],0.0011855368720602444,0,6,23,11
NA,conif_1_to_decid_1 [Type],0.00819685955944105,0,6,31,11
NA,conif_2_to_decid_1 [Type],0.0018549450213388718,0,6,32,11
NA,conif_3_to_decid_1 [Type],6.347192007293279e-4,0,6,33,11
NA,decid_1_to_decid_2 [Type],0.08544768199615449,0,6,11,12
NA,decid_3_to_decid_2 [Type],0.5253077613528434,0,6,13,12
NA,mixt_1_to_decid_2 [Type],0.010362973965217348,0,6,21,12
NA,mixt_2_to_decid_2 [Type],0.03494335252608971,0,6,22,12
NA,mixt_3_to_decid_2 [Type],0.15264560031059848,0,6,23,12
NA,conif_1_to_decid_2 [Type],0,0,6,31,12
NA,conif_2_to_decid_2 [Type],7.415648035080658e-4,0,6,32,12
NA,conif_3_to_decid_2 [Type],0.021811474265736153,0,6,33,12
NA,decid_1_to_decid_3 [Type],0,0,6,11,13
NA,decid_2_to_decid_3 [Type],0.01771733041171153,0,6,12,13
NA,mixt_1_to_decid_3 [Type],0,0,6,21,13
NA,mixt_2_to_decid_3 [Type],1.4993627792492248e-4,0,6,22,13
NA,mixt_3_to_decid_3 [Type],0.01191937700633705,0,6,23,13
NA,conif_1_to_decid_3 [Type],0,0,6,31,13
NA,conif_2_to_decid_3 [Type],0,0,6,32,13
NA,conif_3_to_decid_3 [Type],0.005727059503756959,0,6,33,13
NA,decid_1_to_mixt_1 [Type],0.005924116398024704,0,6,11,21
NA,decid_2_to_mixt_1 [Type],0.001224797896967167,0,6,12,21
NA,decid_3_to_mixt_1 [Type],5.738222771226598e-4,0,6,13,21
NA,mixt_2_to_mixt_1 [Type],0.20969138550378508,0,6,22,21
NA,mixt_3_to_mixt_1 [Type],0.0011855368720602444,0,6,23,21
NA,conif_1_to_mixt_1 [Type],0.5370899501137246,0,6,31,21
NA,conif_2_to_mixt_1 [Type],0.07549624635078411,0,6,32,21
NA,conif_3_to_mixt_1 [Type],0.08135500358319914,0,6,33,21
NA,decid_1_to_mixt_2 [Type],0.002419249993642403,0,6,11,22
NA,decid_2_to_mixt_2 [Type],0.0024275026672606614,0,6,12,22
NA,decid_3_to_mixt_2 [Type],1.1473811064099948e-4,0,6,13,22
NA,mixt_1_to_mixt_2 [Type],0.032086951166018896,0,6,21,22
NA,mixt_3_to_mixt_2 [Type],0.3919965078673495,0,6,23,22
NA,conif_1_to_mixt_2 [Type],0,0,6,31,22
NA,conif_2_to_mixt_2 [Type],0.1661355781778875,0,6,32,22
NA,conif_3_to_mixt_2 [Type],0.13031892186562144,0,6,33,22
NA,decid_1_to_mixt_3 [Type],0,0,6,11,23
NA,decid_2_to_mixt_3 [Type],4.707987102725575e-5,0,6,12,23
NA,decid_3_to_mixt_3 [Type],0,0,6,13,23
NA,mixt_1_to_mixt_3 [Type],0,0,6,21,23
NA,mixt_2_to_mixt_3 [Type],0.014954395685808586,0,6,22,23
NA,conif_1_to_mixt_3 [Type],0,0,6,31,23
NA,conif_2_to_mixt_3 [Type],0.002226347845351695,0,6,32,23
NA,conif_3_to_mixt_3 [Type],0.02246035561457782,0,6,33,23
NA,decid_1_to_conif_1 [Type],0,0,6,11,31
NA,decid_2_to_conif_1 [Type],0,0,6,12,31
NA,decid_3_to_conif_1 [Type],0,0,6,13,31
NA,mixt_1_to_conif_1 [Type],0,0,6,21,31
NA,mixt_2_to_conif_1 [Type],1.4993627792492248e-4,0,6,22,31
NA,mixt_3_to_conif_1 [Type],0,0,6,23,31
NA,conif_2_to_conif_1 [Type],0.056841575770560704,0,6,32,31
NA,conif_3_to_conif_1 [Type],0.08968126293825796,0,6,33,31
NA,decid_1_to_conif_2 [Type],0,0,6,11,32
NA,decid_2_to_conif_2 [Type],0,0,6,12,32
NA,decid_3_to_conif_2 [Type],0,0,6,13,32
NA,mixt_1_to_conif_2 [Type],0,0,6,21,32
NA,mixt_2_to_conif_2 [Type],0.001650537549394815,0,6,22,32
NA,mixt_3_to_conif_2 [Type],0.0011855368720602444,0,6,23,32
NA,conif_1_to_conif_2 [Type],0.010256681389212985,0,6,31,32
NA,conif_3_to_conif_2 [Type],0.16303667092685714,0,6,33,32
NA,decid_1_to_conif_3 [Type],0,0,6,11,33
NA,decid_2_to_conif_3 [Type],0,0,6,12,33
NA,decid_3_to_conif_3 [Type],0,0,6,13,33
NA,mixt_1_to_conif_3 [Type],0,0,6,21,33
NA,mixt_2_to_conif_3 [Type],2.2491284911674292e-4,0,6,22,33
NA,mixt_3_to_conif_3 [Type],0,0,6,23,33
NA,conif_1_to_conif_3 [Type],0,0,6,31,33
NA,conif_2_to_conif_3 [Type],0.012307013724842442,0,6,32,33
NA,decid_2_to_decid_1 [Type],0.09171966531884279,0,7,12,11
NA,decid_3_to_decid_1 [Type],0.05661136803947919,0,7,13,11
NA,mixt_1_to_decid_1 [Type],0.05900980075981721,0,7,21,11
NA,mixt_2_to_decid_1 [Type],0.035780870988595836,0,7,22,11
NA,mixt_3_to_decid_1 [Type],0.006904570491792161,0,7,23,11
NA,conif_1_to_decid_1 [Type],0,0,7,31,11
NA,conif_2_to_decid_1 [Type],0.00574038171502278,0,7,32,11
NA,conif_3_to_decid_1 [Type],0,0,7,33,11
NA,decid_1_to_decid_2 [Type],0.09784471584481036,0,7,11,12
NA,decid_3_to_decid_2 [Type],0.47172945620462525,0,7,13,12
NA,mixt_1_to_decid_2 [Type],0.005891067462741706,0,7,21,12
NA,mixt_2_to_decid_2 [Type],0.05522915316434274,0,7,22,12
NA,mixt_3_to_decid_2 [Type],0.24277183398077162,0,7,23,12
NA,conif_1_to_decid_2 [Type],0,0,7,31,12
NA,conif_2_to_decid_2 [Type],0.0026972402460752054,0,7,32,12
NA,conif_3_to_decid_2 [Type],0.0013976247221246796,0,7,33,12
NA,decid_1_to_decid_3 [Type],0,0,7,11,13
NA,decid_2_to_decid_3 [Type],0.019072761684430728,0,7,12,13
NA,mixt_1_to_decid_3 [Type],0,0,7,21,13
NA,mixt_2_to_decid_3 [Type],0.0022473880946346503,0,7,22,13
NA,mixt_3_to_decid_3 [Type],0.04217371477884857,0,7,23,13
NA,conif_1_to_decid_3 [Type],0,0,7,31,13
NA,conif_2_to_decid_3 [Type],0,0,7,32,13
NA,conif_3_to_decid_3 [Type],6.985680209863343e-4,0,7,33,13
NA,decid_1_to_mixt_1 [Type],0.007588417251135793,0,7,11,21
NA,decid_2_to_mixt_1 [Type],0.003153451555906961,0,7,12,21
NA,decid_3_to_mixt_1 [Type],4.473272422440555e-4,0,7,13,21
NA,mixt_2_to_mixt_1 [Type],0.19379028923122676,0,7,22,21
NA,mixt_3_to_mixt_1 [Type],0.0022962142816650433,0,7,23,21
NA,conif_1_to_mixt_1 [Type],0.5979848738963147,0,7,31,21
NA,conif_2_to_mixt_1 [Type],0.07631246993441931,0,7,32,21
NA,conif_3_to_mixt_1 [Type],0.08458270345397012,0,7,33,21
NA,decid_1_to_mixt_2 [Type],0.0015983813296657212,0,7,11,22
NA,decid_2_to_mixt_2 [Type],0.004410441560887213,0,7,12,22
NA,decid_3_to_mixt_2 [Type],0,0,7,13,22
NA,mixt_1_to_mixt_2 [Type],0.02603645208978378,0,7,21,22
NA,mixt_3_to_mixt_2 [Type],0.23974895503120353,0,7,23,22
NA,conif_1_to_mixt_2 [Type],0,0,7,31,22
NA,conif_2_to_mixt_2 [Type],0.1468024097864974,0,7,32,22
NA,conif_3_to_mixt_2 [Type],0.09996896391191712,0,7,33,22
NA,decid_1_to_mixt_3 [Type],0,0,7,11,23
NA,decid_2_to_mixt_3 [Type],0,0,7,12,23
NA,decid_3_to_mixt_3 [Type],4.473272422440555e-4,0,7,13,23
NA,mixt_1_to_mixt_3 [Type],0,0,7,21,23
NA,mixt_2_to_mixt_3 [Type],0.01251135279723703,0,7,22,23
NA,conif_1_to_mixt_3 [Type],0,0,7,31,23
NA,conif_2_to_mixt_3 [Type],0,0,7,32,23
NA,conif_3_to_mixt_3 [Type],0.0020971711304142993,0,7,33,23
NA,decid_1_to_conif_1 [Type],0,0,7,11,31
NA,decid_2_to_conif_1 [Type],0,0,7,12,31
NA,decid_3_to_conif_1 [Type],0,0,7,13,31
NA,mixt_1_to_conif_1 [Type],0,0,7,21,31
NA,mixt_2_to_conif_1 [Type],4.3179759342903967e-4,0,7,22,31
NA,mixt_3_to_conif_1 [Type],0,0,7,23,31
NA,conif_2_to_conif_1 [Type],0.058262941756730524,0,7,32,31
NA,conif_3_to_conif_1 [Type],0.1022996481076166,0,7,33,31
NA,decid_1_to_conif_2 [Type],0,0,7,11,32
NA,decid_2_to_conif_2 [Type],0,0,7,12,32
NA,decid_3_to_conif_2 [Type],0,0,7,13,32
NA,mixt_1_to_conif_2 [Type],0,0,7,21,32
NA,mixt_2_to_conif_2 [Type],0.00415298558557986,0,7,22,32
NA,mixt_3_to_conif_2 [Type],0,0,7,23,32
NA,conif_1_to_conif_2 [Type],0.007604673102253656,0,7,31,32
NA,conif_3_to_conif_2 [Type],0.19325469395427164,0,7,33,32
NA,decid_1_to_conif_3 [Type],0,0,7,11,33
NA,decid_2_to_conif_3 [Type],0,0,7,12,33
NA,decid_3_to_conif_3 [Type],0,0,7,13,33
NA,mixt_1_to_conif_3 [Type],0,0,7,21,33
NA,mixt_2_to_conif_3 [Type],0.0013824095083386778,0,7,22,33
NA,mixt_3_to_conif_3 [Type],0,0,7,23,33
NA,conif_1_to_conif_3 [Type],0,0,7,31,33
NA,conif_2_to_conif_3 [Type],0.02178613948566599,0,7,32,33
NA,decid_2_to_decid_1 [Type],0.06079773961316082,0,8,12,11
NA,decid_3_to_decid_1 [Type],0.06634673801462676,0,8,13,11
NA,mixt_1_to_decid_1 [Type],0.036619329685811386,0,8,21,11
NA,mixt_2_to_decid_1 [Type],0.049346522437433316,0,8,22,11
NA,mixt_3_to_decid_1 [Type],0.002365340372866176,0,8,23,11
NA,conif_1_to_decid_1 [Type],0.0014041663841803942,0,8,31,11
NA,conif_2_to_decid_1 [Type],9.454478808486044e-4,0,8,32,11
NA,conif_3_to_decid_1 [Type],1.7763567064377206e-4,0,8,33,11
NA,decid_1_to_decid_2 [Type],0.11426578883646588,0,8,11,12
NA,decid_3_to_decid_2 [Type],0.4056571554841162,0,8,13,12
NA,mixt_1_to_decid_2 [Type],3.45721704368529e-4,0,8,21,12
NA,mixt_2_to_decid_2 [Type],0.08037021570840908,0,8,22,12
NA,mixt_3_to_decid_2 [Type],0.11751483370624183,0,8,23,12
NA,conif_1_to_decid_2 [Type],0,0,8,31,12
NA,conif_2_to_decid_2 [Type],0.007779266240629079,0,8,32,12
NA,conif_3_to_decid_2 [Type],0.002667857132260032,0,8,33,12
NA,decid_1_to_decid_3 [Type],0,0,8,11,13
NA,decid_2_to_decid_3 [Type],0.013378224661614424,0,8,12,13
NA,mixt_1_to_decid_3 [Type],0,0,8,21,13
NA,mixt_2_to_decid_3 [Type],0.0015344051234550404,0,8,22,13
NA,mixt_3_to_decid_3 [Type],0.009712111003682189,0,8,23,13
NA,conif_1_to_decid_3 [Type],0,0,8,31,13
NA,conif_2_to_decid_3 [Type],1.8901805291238194e-4,0,8,32,13
NA,conif_3_to_decid_3 [Type],0,0,8,33,13
NA,decid_1_to_mixt_1 [Type],0.009960977163762763,0,8,11,21
